#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010     SA_00011     SA_00012     SA_00013
     167    9686.2052    1057.5950     463.7631     287.2796     389.3185     393.0224     381.8519     311.4258     292.4356    2549.6556     923.8955    1640.0351     995.9270
     168    8244.5373     922.4452     392.7548     246.5458     234.0854     294.6551     364.3389     392.2232     346.4717    3103.1970     382.8118     947.7727     617.2357
     169    7701.1159     425.0989     503.1598     493.8632     338.5892     284.9447     338.5741     468.9015     526.1477    2121.6159     412.8873    1008.1898     779.1438
     170    6371.0820     323.5734     214.2069     195.7094     194.0179     215.0221     362.1599     304.7100     334.5883    2372.6572     380.6292     925.7536     548.0541
     171    9333.5059     574.5498     474.4636     492.6926     484.0439     297.5806     218.7468     241.8729     296.8435    2908.1797     588.8755    1641.0262    1114.6307
     172    8403.1656     663.6960     393.9002     312.5692     315.3726     281.0582     404.3120     481.9020     517.0530    1838.3707     377.3038    1797.4435    1020.1844
     173    6583.9372     390.4114     257.4028     233.5685     198.8528     186.1705     198.2902     246.8569     295.2503    2280.9721     482.9586    1310.8781     502.3250
     174    8224.0664     345.5822     433.7521     426.9532     355.2786     382.3803     509.5716     380.9530     309.2228    2315.6046     354.4792    1539.2894     870.9994
     175    9637.0744     476.8326     389.1960     378.5365     462.0556     436.0944     330.5210     318.0717     340.7617    3094.8109     790.1591    1896.8326     723.2024
     176    8285.5437     365.5776     398.2764     384.7414     449.4801     476.0616     448.3624     448.7377     291.0245    1781.1888     573.8110    1848.2219     820.0604
     177    6385.7191     382.2832     224.5921     199.8409     192.3043     188.1653     197.2406     208.6647     307.0008    2120.2511     421.4780    1412.8921     531.0060
     178    7957.6783     500.9884     512.9905     348.4485     319.8026     352.8449     245.7512     227.8433     299.2651    2912.9669     387.0349    1120.6135     729.1285
     179    8248.5942     509.5297     430.3314     412.2676     523.6631     353.7800     318.0140     306.4551     370.1737    2587.1546     370.3140    1312.0210     754.8899
