#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010     SA_00011     SA_00012     SA_00013
     170    8929.1561     479.1466     595.8653    1811.6420     374.8341     324.9387     268.1909     230.1634     355.2650     610.5328     608.7721    2150.0612    1119.7441
     171    9819.4817     539.2767     481.3611    1374.1910     669.9887     681.3806     496.5968     386.8894     353.7287     267.3758     309.8002    3367.2137     891.6791
     172    8941.3599     531.6025     370.5910    1768.3574     564.1348     484.5155     545.9494     467.3583     302.7158     287.6607     398.3478    2235.9691     984.1575
     173    8396.3154     420.7841     498.4426    1583.2834     513.4175     365.8918     245.2565     210.8418     206.0032     266.4325     463.7588    2924.4147     697.7886
     174    8816.9812     551.8152     727.5284    1470.2072     458.4786     402.4104     389.1465     453.5589     508.4731     558.6054     441.3517    2231.3149     624.0909
     175    7330.9919     325.3289     247.9789     882.6226     389.4989     348.1942     235.4152     226.4984     282.1355     273.4900     300.0050    3090.6738     729.1505
     176    8704.9845     371.6106     385.9653    1416.7008     598.7204     306.7899     243.7694     262.3647     294.2042     362.7333     357.8284    3259.0868     845.2106
     177    9137.9828     480.8526     628.0785    1383.7041     438.4429     349.1557     305.6840     210.9852     220.0383     339.0998     371.9211    3555.7749     854.2457
     178    7792.3668     703.0188     404.0334    1710.0488     402.7726     250.8292     219.9679     220.5832     240.4735     312.4612     449.8075    2265.3303     613.0404
     179    8537.9553     526.4109     479.4949    1221.2751     451.9859     324.9252     378.5987     283.5504     313.3870     384.5314     414.8755    2979.1040     779.8164
     180    7721.6086     309.6405     229.7298    1279.1306     611.1658     562.3990     290.5767     238.4339     271.0622     310.4840     397.6960    2473.8777     747.4122
     181    8388.7940     433.0784     437.8048    1404.8439     584.8318     401.8618     303.3687     311.8461     267.8309     221.3629     248.9672    2967.0826     805.9149
     182    8362.6996     673.1950     437.6255    1496.1387     662.9529     385.0631     425.6900     339.2862     221.3427     209.0831     267.0438    2638.2408     607.0376
     183    8625.6394     401.3111     367.6656    1270.4930     702.9851     475.7727     368.1683     298.7384     273.4425     334.8255     269.2259    3060.1035     802.9076
     184    8070.2285     446.5532     415.0159    1229.4514     443.0671     329.3466     328.6087     351.4374     386.0057     305.4060     365.9745    2735.7270     733.6349
     185    9338.0865     422.2401     439.2049    1754.3564     452.2784     311.6098     346.9462     364.3329     349.9471     436.8511     481.3688    3168.8176     810.1332
     186    6879.3692     452.1951     339.5456    1086.1202     250.0060     191.7787     177.5369     190.9095     194.9981     234.2206     286.8009    2685.2902     789.9674
     187   10284.9650     656.7274     422.0299    1395.0180     499.4917     444.8422     423.5572     422.7232     365.3620     397.8883     341.8345    3748.0163    1167.4743
     188    8151.2216     567.7108     521.1963    1578.2269     456.6641     270.7354     203.6432     203.8290     225.3781     348.4870     493.1571    2629.1696     653.0240
     189    8871.3110     555.3043     400.9278    1201.5023     559.4416     389.8967     291.6932     261.6384     276.8568     342.1415     328.6671    3436.6481     826.5934
