#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007
     316    6799.6954     666.3548     501.3374    1891.9367     497.9174    2377.8622     864.2869
     317    6940.9967     795.9234     477.6539    1415.3889     623.8039    2981.5248     646.7017
     318    7842.8200     409.3346     353.9945    1905.4703     500.0744    3911.5628     762.3834
     319    7344.5066     544.2359     518.3509    1570.5469     520.5762    3285.4846     905.3121
     320    5669.1027     361.6624     277.1374    1206.3814     497.3321    2683.0662     643.5231
     321    6386.1042     311.7907     324.6256    1833.2765     607.6758    2409.4394     899.2962
     322    5650.4784     425.8196     364.9294    1080.6207     626.4971    2355.9716     796.6401
     323    6723.2069     384.1868     425.3397    1665.3808     564.2835    2860.8253     823.1909
     324    5863.0683     313.7564     327.3285    1343.8429     572.8807    2456.4247     848.8350
     325    5674.3679     456.6656     308.7775    1104.3182     360.8581    2745.7753     697.9733
     326    6370.3825     478.0755     350.0562    1424.8506     484.7564    2852.4465     780.1973
     327    6658.5328     382.1170     416.6820    1492.8705     594.3327    2917.3950     855.1356
     328    5702.8036     416.8838     370.9860    1350.5096     466.0161    2268.7050     829.7031
     329    6405.1253     355.6569     309.6512    1315.1228     592.2798    3053.1628     779.2519
     330    4965.1908     330.1680     265.6087     975.1655     477.3226    2324.0363     592.8897
     331    5992.7471     752.2525     296.1805    1484.7672     563.6694    2177.4629     718.4145
     332    5317.6334     312.3444     256.7833     883.5684     403.8793    2727.4917     733.5664
     333    6398.0235     703.0494     382.7599    1763.0739     584.2844    2264.5094     700.3467
     334    6023.1907     454.4073     548.8972    1096.0349     502.0364    2615.5435     806.2713
