#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008
     269    5537.5166     368.3547     401.5502     387.9196    1961.0924     423.0612    1495.0762     500.4623
     270    6627.1529     813.4964     482.7096     421.4387    2295.1090     515.8176    1285.6076     812.9740
     271    6996.5479     587.2486     416.8280     390.3301    3180.0858     624.9942    1027.4616     769.5996
     272    5391.5403     407.0167     234.8243     240.7466    2470.4100     317.8075    1217.9930     502.7422
     273    6615.3578     343.6983     298.4514     313.6848    3014.8786     622.3453    1157.3533     864.9460
     274    8254.9886     749.7387     452.1452     462.6543    3665.2846     625.9129    1200.8451    1098.4078
     275    8650.7191     688.0943     439.9740     569.4506    3631.4788     579.1421    1657.3815    1085.1979
     276    7909.0437     508.3167     424.6527     425.0100    3806.3230     523.0876    1251.5635     970.0903
     277    7505.2033     856.3312     516.1256     393.7774    3019.4264     563.2581    1294.5504     861.7342
     278    5270.7166     316.5927     215.0732     231.2839    1871.0949     483.7048    1444.6697     708.2973
     279    6044.8016     557.4542     361.5188     323.8364    2755.2931     369.6463    1179.9787     497.0741
     280    7780.7741     715.3857     423.3220     324.6244    3264.9945     723.0675    1391.3409     938.0390
     281    5725.1460     564.3714     423.1931     368.2544    2594.4678     364.0383     902.9519     507.8690
     282    6123.5315     569.9436     411.2251     382.8396    2461.2125     557.1764    1001.2981     739.8361
     283    6119.0539     665.6430     373.0081     358.4317    2600.2248     396.3588     995.1990     730.1886
     284    5051.4863     339.1714     311.5743     296.2521    1964.9088     319.7177    1198.2723     621.5896
     285    5698.0733     331.1440     331.9239     398.6011    2379.2412     473.5131     988.8514     794.7984
     286    7616.4396     448.5898     303.0952     335.3778    3556.1082     479.6124    1670.0547     823.6016
     287    5729.2535     486.1741     299.4120     299.6165    2389.0437     485.1225     967.5925     802.2922
     288    6915.5147     518.8545     470.7617     489.9476    2864.9133     526.8146    1210.5161     833.7069
     289    8581.6861     867.6354     720.9499     404.4689    3458.0653     522.8461    1769.6054     838.1150
     290    6001.6652     590.0500     393.3543     384.7149    2535.3228     385.0669    1200.1333     513.0231
     291    7992.3210     390.4160     490.1659     390.4983    3490.5882     688.6625    1747.2274     794.7628
     292    5167.0782     345.5216     271.8576     312.1128    2127.5470     417.2524    1047.0560     645.7307
     293    5649.7925     340.6185     323.0762     391.5122    2319.1646     471.8545     963.0312     840.5353
     294    6292.3282     494.1245     389.4794     426.7088    2613.3273     356.8287    1293.5394     718.3200
     295    5683.0337     478.3455     287.7237     289.6266    2350.0596     505.2414    1086.0271     686.0098
     296    5066.4829     397.0017     323.9711     316.7825    2218.0985     346.3846     967.1607     497.0838
     297    8064.7918     538.8729     660.7116     599.3129    3540.5175     496.4028    1119.3466    1109.6275
